"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_f"
923,42,42,58,"Buchholterberg BE","Buchholterberg (BE)","Buchholterberg BE","A Buchholterberg, les habitants disent non à 58 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 80,1 pour cent des suffrages. Les citoyens de Buchholterberg avaient déjà refusé la précédente révision de l'AVS en 2017."
924,23,23,77,"Eriz BE","Eriz (BE)","Eriz BE","Les habitants d'Eriz s'opposent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 77 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 94,1 pour cent des suffrages. Les citoyens d'Eriz avaient déjà refusé la précédente révision de l'AVS en 2017."
925,15.2,15.2,84.8,"Fahrni BE","Fahrni (BE)","Fahrni BE","Les habitants de Fahrni s'opposent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 84,8 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 62 pour cent des suffrages. Les citoyens de Fahrni avaient déjà refusé la précédente révision de l'AVS en 2017."
927,83.3,83.3,16.7,"Heiligenschwendi BE","Heiligenschwendi (BE)","Heiligenschwendi BE","Les électeurs de Heiligenschwendi valident la révision de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, avec 83,3 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 63,4 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Heiligenschwendi passe cette fois-ci du côté du oui."
928,82.4,82.4,17.6,"Heimberg BE","Heimberg (BE)","Heimberg BE","A Heimberg, les habitants disent oui à 82,4 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 76,9 pour cent de non. Les citoyens de Heimberg avaient déjà refusé la précédente révision de l'AVS en 2017."
929,49.3,49.3,50.7,"Hilterfingen BE","Hilterfingen (BE)","Hilterfingen BE","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, ne passe pas la rampe à Hilterfingen avec 50,7 pour cent des suffrages. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 73,7 pour cent des suffrages. Les citoyens de Hilterfingen avaient déjà refusé la précédente révision de l'AVS en 2017."
931,8.8,8.8,91.2,"Homberg BE","Homberg (BE)","Homberg BE","Les habitants de Homberg s'opposent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 91,2 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 93,2 pour cent de non. Les citoyens de Homberg avaient déjà refusé la précédente révision de l'AVS en 2017."
932,88.6,88.6,11.4,"Horrenbach-Buchen BE","Horrenbach-Buchen (BE)","Horrenbach-Buchen BE","La réforme de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, passe la rampe à Horrenbach-Buchen avec 88,6 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 65,1 pour cent de non. Les citoyens de Horrenbach-Buchen avaient déjà refusé la précédente révision de l'AVS en 2017."
934,38.2,38.2,61.8,"Oberhofen am Thunersee BE","Oberhofen am Thunersee (BE)","Oberhofen am Thunersee BE","Les habitants d'Oberhofen am Thunersee rejettent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 61,8 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 91,8 pour cent de non. Les citoyens d'Oberhofen am Thunersee avaient déjà refusé la précédente révision de l'AVS en 2017."
935,90,90,10,"Oberlangenegg BE","Oberlangenegg (BE)","Oberlangenegg BE","Les électeurs d'Oberlangenegg valident la révision de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, avec 90 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 50,5 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Oberlangenegg passe cette fois-ci du côté du oui."
936,30.4,30.4,69.6,"Pohlern BE","Pohlern (BE)","Pohlern BE","A Pohlern, les habitants sont défavorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 69,6 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 78,5 pour cent de non. Les citoyens de Pohlern avaient déjà refusé la précédente révision de l'AVS en 2017."
938,28.3,28.3,71.7,"Sigriswil BE","Sigriswil (BE)","Sigriswil BE","C'est non à 71,7 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, à Sigriswil. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 84,2 pour cent des suffrages. Les citoyens de Sigriswil avaient déjà refusé la précédente révision de l'AVS en 2017."
939,49.5,49.5,50.5,"Steffisburg BE","Steffisburg (BE)","Steffisburg BE","Les habitants de Steffisburg s'opposent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 50,5 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 95,6 pour cent de non. Les citoyens de Steffisburg avaient déjà refusé la précédente révision de l'AVS en 2017."
940,49.6,49.6,50.4,"Teuffenthal BE","Teuffenthal (BE)","Teuffenthal BE","A Teuffenthal (BE), les habitants sont défavorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 50,4 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 69,1 pour cent des suffrages. Les citoyens de Teuffenthal (BE) avaient déjà refusé la précédente révision de l'AVS en 2017."
941,26.6,26.6,73.4,"Thierachern BE","Thierachern (BE)","Thierachern BE","C'est non à 73,4 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, à Thierachern. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 77,5 pour cent des suffrages. Les citoyens de Thierachern avaient déjà refusé la précédente révision de l'AVS en 2017."
942,31.7,31.7,68.3,"Thun BE","Thoune (BE)","Thun BE","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, échoue à Thoune avec 68,3 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 57,8 pour cent de non. Les citoyens de Thoune avaient déjà refusé la précédente révision de l'AVS en 2017."
943,15.8,15.8,84.2,"Uebeschi BE","Uebeschi (BE)","Uebeschi BE","A Uebeschi, les habitants disent non à 84,2 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 71,5 pour cent des suffrages. Les citoyens d'Uebeschi avaient déjà refusé la précédente révision de l'AVS en 2017."
944,56.6,56.6,43.4,"Uetendorf BE","Uetendorf (BE)","Uetendorf BE","La réforme de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, passe la rampe à Uetendorf avec 56,6 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 51,2 pour cent de non. Les citoyens d'Uetendorf avaient déjà refusé la précédente révision de l'AVS en 2017."
945,26.5,26.5,73.5,"Unterlangenegg BE","Unterlangenegg (BE)","Unterlangenegg BE","Les habitants d'Unterlangenegg s'opposent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 73,5 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 79,6 pour cent des suffrages. Les citoyens d'Unterlangenegg avaient déjà refusé la précédente révision de l'AVS en 2017."
946,55.9,55.9,44.1,"Wachseldorn BE","Wachseldorn (BE)","Wachseldorn BE","Les électeurs de Wachseldorn valident la révision de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, avec 55,9 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 60,4 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Wachseldorn passe cette fois-ci du côté du oui."
947,82.7,82.7,17.3,"Zwieselberg BE","Zwieselberg (BE)","Zwieselberg BE","Les habitants de Zwieselberg acceptent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 82,7 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 68,1 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Zwieselberg passe cette fois-ci du côté du oui."
948,48.3,48.3,51.7,"Forst-Längenbühl BE","Forst-Längenbühl (BE)","Forst-Längenbühl BE","Les habitants de Forst-Längenbühl rejettent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 51,7 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 54,4 pour cent des suffrages. Les citoyens de Forst-Längenbühl avaient déjà refusé la précédente révision de l'AVS en 2017."
951,81.1,81.1,18.9,"Affoltern im Emmental BE","Affoltern im Emmental (BE)","Affoltern im Emmental BE","C'est oui à 81,1 pour cent à la réforme de l'AVS à Affoltern im Emmental. Les femmes partiront à la retraite à l'âge de auf 65 ans. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 80,1 pour cent de non. Les citoyens d'Affoltern im Emmental avaient déjà refusé la précédente révision de l'AVS en 2017."
952,17.1,17.1,82.9,"Dürrenroth BE","Dürrenroth (BE)","Dürrenroth BE","A Dürrenroth, les habitants sont défavorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 82,9 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 70,5 pour cent de non. Les citoyens de Dürrenroth avaient déjà refusé la précédente révision de l'AVS en 2017."
953,20.6,20.6,79.4,"Eriswil BE","Eriswil (BE)","Eriswil BE","Les habitants d'Eriswil rejettent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 79,4 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 60,3 pour cent de non. Les citoyens d'Eriswil avaient déjà refusé la précédente révision de l'AVS en 2017."
954,64.4,64.4,35.6,"Huttwil BE","Huttwil (BE)","Huttwil BE","A Huttwil, les habitants disent oui à 64,4 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 50,5 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Huttwil passe cette fois-ci du côté du oui."
955,51.5,51.5,48.5,"Lützelflüh BE","Lützelflüh (BE)","Lützelflüh BE","C'est oui à 51,5 pour cent à la réforme de l'AVS à Lützelflüh. Les femmes partiront à la retraite à l'âge de auf 65 ans. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 61,3 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Lützelflüh passe cette fois-ci du côté du oui."
956,98.8,98.8,1.2,"Rüegsau BE","Rüegsau (BE)","Rüegsau BE","La réforme de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, passe la rampe à Rüegsau avec 98,8 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 71,9 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Rüegsau passe cette fois-ci du côté du oui."
957,43.5,43.5,56.5,"Sumiswald BE","Sumiswald (BE)","Sumiswald BE","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, échoue à Sumiswald avec 56,5 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 88 pour cent de non. Les citoyens de Sumiswald avaient déjà refusé la précédente révision de l'AVS en 2017."
958,58.8,58.8,41.2,"Trachselwald BE","Trachselwald (BE)","Trachselwald BE","La réforme de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, passe la rampe à Trachselwald avec 58,8 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 53,5 pour cent de non. Les citoyens de Trachselwald avaient déjà refusé la précédente révision de l'AVS en 2017."
959,69,69,31,"Walterswil BE","Walterswil (BE)","Walterswil BE","La réforme de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, passe la rampe à Walterswil (BE) avec 69 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 50,4 pour cent de non. Les citoyens de Walterswil (BE) avaient déjà refusé la précédente révision de l'AVS en 2017."
